Unnamed: 0,Artist and Title,Artist,Streams,Daily,year,main_genre,genres,first_genre,second_genre,third_genre
0,J. Cole - No Role Modelz,J. Cole,2300753974,987553,2014,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
1,Sam Smith - Stay With Me,Sam Smith,2135129240,875392,2014,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown
2,Mark Ronson - Uptown Funk,Mark Ronson,2039781091,675268,2014,Pop,['pop soul'],pop soul,Unknown,Unknown
3,Sam Smith - I'm Not The Only One,Sam Smith,1926711475,791299,2014,Pop,"['pop', 'uk pop']",pop,uk pop,Unknown
4,Maroon 5 - Sugar,Maroon 5,1877824112,552959,2014,Pop,['pop'],pop,Unknown,Unknown
5,Taylor Swift - Blank Space,Taylor Swift,1876365684,729785,2014,Pop,['pop'],pop,Unknown,Unknown
6,Avicii - The Nights,Avicii,1843146518,960931,2014,Pop,"['dance pop', 'edm', 'pop', 'pop dance']",dance pop,edm,pop
7,Sia - Chandelier,Sia,1777200684,687630,2014,Pop,['musical advocacy'],musical advocacy,Unknown,Unknown
8,WALK THE MOON - Shut Up and Dance,WALK THE MOON,1767727803,1119671,2014,Rock,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']",dance rock,modern alternative rock,modern rock
9,Maroon 5 - Maps,Maroon 5,1747194196,1053460,2014,Pop,['pop'],pop,Unknown,Unknown
10,The Weeknd - Earned It (Fifty Shades Of Grey),The Weeknd,1705371041,615543,2014,R&B/Soul,"['canadian contemporary r&b', 'canadian pop', 'pop']",canadian contemporary r&b,canadian pop,pop
11,One Direction - Night Changes,One Direction,1643610794,1545090,2014,Pop,"['boy band', 'pop', 'post-teen pop', 'talent show']",boy band,pop,post-teen pop
12,Coldplay - A Sky Full of Stars,Coldplay,1583668307,1394236,2014,Rock,"['permanent wave', 'pop']",permanent wave,pop,Unknown
13,Calvin Harris - Summer,Calvin Harris,1570957137,1043981,2014,Pop,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",dance pop,edm,electro house
14,Ariana Grande - One Last Time,Ariana Grande,1512768552,772581,2014,Pop,['pop'],pop,Unknown,Unknown
15,The Walters - I Love You So,The Walters,1509771194,1600237,2014,Indie/Alternative,"['chicago indie', 'pov: indie']",chicago indie,pov: indie,Unknown
16,Taylor Swift - Shake It Off,Taylor Swift,1451676100,631630,2014,Pop,['pop'],pop,Unknown,Unknown
17,Pharrell Williams - Happy,Pharrell Williams,1411867344,483482,2014,Pop,"['dance pop', 'pop']",dance pop,pop,Unknown
18,Maroon 5 - Animals,Maroon 5,1408591187,668140,2014,Pop,['pop'],pop,Unknown,Unknown
19,Jessie J - Bang Bang,Jessie J,1363107037,418461,2014,Pop,"['modern country pop', 'singer-songwriter pop']",modern country pop,singer-songwriter pop,Unknown
20,Clean Bandit - Rather Be,Clean Bandit,1361315441,451241,2014,Pop,"['pop', 'uk dance', 'uk funky']",pop,uk dance,uk funky
21,Pitbull - Time of Our Lives,Pitbull,1347286804,873593,2014,Pop,"['dance pop', 'miami hip hop', 'pop']",dance pop,miami hip hop,pop
22,J. Cole - Wet Dreamz,J. Cole,1276861712,472708,2014,Hip-Hop/Rap,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",conscious hip hop,hip hop,north carolina hip hop
23,Taylor Swift - Style,Taylor Swift,1252376495,565472,2014,Pop,['pop'],pop,Unknown,Unknown
24,James Bay - Let It Go,James Bay,1213795014,263902,2014,Rock,"['neo mellow', 'pop', 'uk pop']",neo mellow,pop,uk pop
25,Calvin Harris - Outside,Calvin Harris,1195120516,1052719,2014,Pop,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",dance pop,edm,electro house
26,Lost Frequencies - Are You With Me,Lost Frequencies,1103197339,642734,2014,Electronic/Dance,"['belgian edm', 'edm', 'pop dance', 'tropical house']",belgian edm,edm,pop dance
27,Lilly Wood and The Prick - Prayer In C,Lilly Wood and The Prick,1102099154,423644,2014,Pop,"['french indie pop', 'french rock']",french indie pop,french rock,Unknown
28,Ariana Grande - Santa Tell Me,Ariana Grande,1052674178,47392,2014,Pop,['pop'],pop,Unknown,Unknown
29,American Authors - Best Day Of My Life,American Authors,1028740799,388990,2014,Rock,"['modern rock', 'pop rock']",modern rock,pop rock,Unknown
30,Mr. Probz - Waves,Mr. Probz,1021830040,358815,2014,Pop,['pop dance'],pop dance,Unknown,Unknown
31,Nico & Vinz - Am I Wrong,Nico & Vinz,992311867,421352,2014,World/Traditional,['afrobeats'],afrobeats,Unknown,Unknown
32,Taylor Swift - Wildest Dreams,Taylor Swift,984358001,312759,2014,Pop,['pop'],pop,Unknown,Unknown
33,TV Girl - Lovers Rock,TV Girl,976940166,1261319,2014,Indie/Alternative,['pov: indie'],pov: indie,Unknown,Unknown
34,Ty Dolla $ign - Or Nah,Ty Dolla $ign,976754210,395916,2014,Hip-Hop/Rap,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",hip hop,pop rap,r&b
35,Calvin Harris - Blame,Calvin Harris,966077081,561265,2014,Pop,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",dance pop,edm,electro house
36,Tove Lo - Habits (Stay High),Tove Lo,947052787,439828,2014,Pop,"['dance pop', 'metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",dance pop,metropopolis,pop
37,Sia - Elastic Heart,Sia,945078843,368056,2014,Pop,['musical advocacy'],musical advocacy,Unknown,Unknown
